Marché;CAC;;;;;;;;;;;
TECH;;1;;;;;;;;;;
iShares ST E 600 Technol Dis (XETR:EXV3);DASSAULT SYSTEMES SE (XPAR:DSY);;;;;;;;;;;
Clôture;Date;Clôture;Ouverture;Plus haut;Plus bas;Volume;Taux de Variation Mensuelle;Taux de Variation Trimestrielle;Taux de Variation Annuelle;Taux de variation du marché;Variance de la rentabilité du marché;Covarience Actif marché
 € 50,22 ;01/11/2019; € 28,60 ; € 27,21 ; € 28,77 ; € 27,02 ;5 949 585;0,049822165;;;0,055157465;0,002482248;0,002748064
 € 51,04 ;01/12/2019; € 29,31 ; € 28,65 ; € 29,79 ; € 27,76 ;5 937 619;0,024522037;Trimestre 3;;0,016196285;0,00060133;0,000397166
 € 50,31 ;01/01/2020; € 31,34 ; € 29,48 ; € 32,83 ; € 29,31 ;6 842 977;0,066966482;0,151782433;;-0,014405775;0,00448451;-0,000964704
 € 47,75 ;01/02/2020; € 28,40 ; € 31,40 ; € 32,25 ; € 27,46 ;9 291 184;-0,098506092;;;-0,052329515;0,00970345;0,005154776
 € 42,24 ;01/03/2020; € 27,00 ; € 28,92 ; € 29,37 ; € 21,00 ;17 251 114;-0,050552279;Trimestre 4;;-0,122625088;0,002555533;0,006198978
 € 46,43 ;01/04/2020; € 26,71 ; € 25,96 ; € 28,68 ; € 23,54 ;6 687 154;-0,010798839;-0,147734525;;0,094588846;0,000116615;-0,00102145
 € 49,95 ;01/05/2020; € 30,45 ; € 26,20 ; € 30,82 ; € 25,97 ;5 376 675;0,131047967;;;0,073184398;0,01717357;0,009590667
 € 53,71 ;01/06/2020; € 30,72 ; € 30,85 ; € 30,98 ; € 28,45 ;6 625 161;0,008827914;Trimestre 1;;0,072576699;7,79321E-05;0,000640701
 € 53,51 ;01/07/2020; € 30,82 ; € 30,72 ; € 32,70 ; € 28,69 ;6 761 770;0,003249922;0,153874953;;-0,003730652;1,0562E-05;-1,21243E-05
 € 55,99 ;01/08/2020; € 31,57 ; € 30,86 ; € 32,13 ; € 29,88 ;4 012 750;0,024043473;;;0,045304551;0,000578089;0,001089279
 € 54,71 ;01/09/2020; € 31,95 ; € 31,99 ; € 32,56 ; € 30,16 ;4 715 528;0,011964878;Trimestre 2;Anné 10;-0,023126595;0,000143158;-0,000276707
 € 48,63 ;01/10/2020; € 29,31 ; € 32,34 ; € 32,54 ; € 28,86 ;6 791 640;-0,086243426;-0,04899416;0,077177508;-0,117908706;0,007437929;0,010168851
 € 55,09 ;01/11/2020; € 31,01 ; € 29,48 ; € 31,98 ; € 29,06 ;6 963 341;0,056380978;;;0,12483041;0,003178815;0,007038061
 € 57,97 ;01/12/2020; € 33,23 ; € 31,37 ; € 33,68 ; € 29,98 ;5 309 261;0,069143349;Trimestre 3;;0,050957424;0,004780803;0,003523367
 € 59,65 ;01/01/2021; € 32,95 ; € 33,20 ; € 34,16 ; € 31,92 ;5 074 721;-0,008461821;0,124189696;;0,028568513;7,16024E-05;-0,000241742
 € 61,60 ;01/02/2021; € 34,38 ; € 33,32 ; € 38,14 ; € 33,06 ;6 060 805;0,042483739;;;0,032167722;0,001804868;0,001366605
 € 64,78 ;01/03/2021; € 36,48 ; € 34,93 ; € 36,87 ; € 33,37 ;6 800 856;0,059289165;Trimestre 4;;0,050335043;0,003515205;0,002984323
 € 66,54 ;01/04/2021; € 38,59 ; € 36,94 ; € 39,59 ; € 36,68 ;4 538 670;0,05622901;0,171168437;;0,026806357;0,003161702;0,001507295
 € 66,72 ;01/05/2021; € 37,65 ; € 38,63 ; € 38,86 ; € 35,95 ;4 696 946;-0,024660221;;;0,002701487;0,000608127;-6,66193E-05
 € 69,43 ;01/06/2021; € 40,90 ; € 37,73 ; € 41,50 ; € 36,75 ;4 811 075;0,082797109;Trimestre 1;;0,039814293;0,006855361;0,003296508
 € 72,82 ;01/07/2021; € 46,52 ; € 41,08 ; € 46,74 ; € 40,44 ;24 554 285;0,128752265;0,205493651;;0,047671592;0,016577146;0,006137825
 € 77,30 ;01/08/2021; € 48,31 ; € 46,66 ; € 49,13 ; € 45,92 ;20 598 735;0,037652747;;;0,059703313;0,001417729;0,002247994
 € 72,03 ;01/09/2021; € 45,47 ; € 48,20 ; € 51,17 ; € 45,12 ;30 159 750;-0,060592276;Trimestre 2;;-0,070611257;0,003671424;0,004278497
 € 77,38 ;01/10/2021; € 50,38 ; € 45,03 ; € 50,45 ; € 42,96 ;25 429 703;0,102651472;0,082975064;Anné 11;0,07164565;0,010537325;0,007354531
 € 75,40 ;01/11/2021; € 53,19 ; € 50,61 ; € 56,82 ; € 50,28 ;29 286 019;0,054276138;;0,715253144;-0,025921074;0,002945899;-0,001406896
 € 77,62 ;01/12/2021; € 52,31 ; € 53,78 ; € 54,63 ; € 50,39 ;21 814 230;-0,016682851;Trimestre 3;;0,029017851;0,000278318;-0,0004841
 € 68,01 ;01/01/2022; € 42,45 ; € 52,00 ; € 52,31 ; € 40,03 ;36 783 644;-0,208860645;-0,157403732;;-0,132170373;0,043622769;0,027605189
 € 63,99 ;01/02/2022; € 43,49 ; € 42,58 ; € 43,72 ; € 38,40 ;35 553 898;0,024204114;;;-0,060927932;0,000585839;-0,001474707
 € 64,32 ;01/03/2022; € 44,72 ; € 43,30 ; € 46,27 ; € 39,99 ;35 910 062;0,027777989;Trimestre 4;;0,005143804;0,000771617;0,000142885
